MANDT,MBLNR,MJAHR,ZEILE,LINE_ID,PARENT_ID,LINE_DEPTH,MAA_URZEI,BWART,XAUTO,MATNR,WERKS,LGORT,CHARG,INSMK,ZUSCH,ZUSTD,SOBKZ,LIFNR,KUNNR,KDAUF,KDPOS,KDEIN,PLPLA,SHKZG,WAERS,DMBTR,BNBTR,BUALT,SHKUM,DMBUM,BWTAR,MENGE,MEINS,ERFMG,ERFME,BPMNG,BPRME,EBELN,EBELP,LFBJA,LFBNR,LFPOS,SJAHR,SMBLN,SMBLP,ELIKZ,SGTXT,EQUNR,WEMPF,ABLAD,GSBER,KOKRS,PARGB,PARBU,KOSTL,PROJN,AUFNR,ANLN1,ANLN2,XSKST,XSAUF,XSPRO,XSERG,GJAHR,XRUEM,XRUEJ,BUKRS,BELNR,BUZEI,BELUM,BUZUM,RSNUM,RSPOS,KZEAR,PBAMG,KZSTR,UMMAT,UMWRK,UMLGO,UMCHA,UMZST,UMZUS,UMBAR,UMSOK,KZBEW,KZVBR,KZZUG,WEUNB,PALAN,LGNUM,LGTYP,LGPLA,BESTQ
140,4900000000,2016,1,1,0,0,0,561,,DXTR1000,MI00,FG00,,,,,,,,,0,0,,S,USD,"140,000.00",0,"140,000.00",,0,,100,EA,100,EA,0,,,0,0,,0,0,,0,,,,,,BI00,NA00,,,,0,,,,,,,,2016,,,US00,,0,,0,0,0,,0,2,,,,,,,,,,,,,0,,,,
140,4900000001,2016,1,1,0,0,0,561,,DXTR1001,MI00,FG00,,,,,,,,,0,0,,S,USD,"140,000.00",0,"140,000.00",,0,,100,EA,100,EA,0,,,0,0,,0,0,,0,,,,,,BI00,NA00,,,,0,,,,,,,,2016,,,US00,,0,,0,0,0,,0,2,,,,,,,,,,,,,0,,,,
140,4900000001,2016,2,2,0,0,0,561,,DXTR1002,MI00,FG00,,,,,,,,,0,0,,S,USD,"140,000.00",0,"140,000.00",,0,,100,EA,100,EA,0,,,0,0,,0,0,,0,,,,,,BI00,NA00,,,,,,,,,,,,2016,,,US00,,0,,0,0,0,,0,2,,,,,,,,,,,,,0,,,,
140,4900000001,2016,3,3,0,0,0,561,,DXTR1003,MI00,FG00,,,,,,,,,0,0,,S,USD,"140,000.00",0,"140,000.00",,0,,100,EA,100,EA,0,,,0,0,,0,0,,0,,,,,,BI00,NA00,,,,,,,,,,,,2016,,,US00,,0,,0,0,0,,0,2,,,,,,,,,,,,,0,,,,
140,4900000001,2016,4,4,0,0,0,561,,DXTR1004,MI00,FG00,,,,,,,,,0,0,,S,USD,"140,000.00",0,"140,000.00",,0,,100,EA,100,EA,0,,,0,0,,0,0,,0,,,,,,BI00,NA00,,,,,,,,,,,,2016,,,US00,,0,,0,0,0,,0,2,,,,,,,,,,,,,0,,,,
140,4900000001,2016,5,5,0,0,0,561,,DXTR1005,MI00,FG00,,,,,,,,,0,0,,S,USD,"140,000.00",0,"140,000.00",,0,,100,EA,100,EA,0,,,0,0,,0,0,,0,,,,,,BI00,NA00,,,,,,,,,,,,2016,,,US00,,0,,0,0,0,,0,2,,,,,,,,,,,,,0,,,,
140,4900000001,2016,6,6,0,0,0,561,,DXTR1006,MI00,FG00,,,,,,,,,0,0,,S,USD,"140,000.00",0,"140,000.00",,0,,100,EA,100,EA,0,,,0,0,,0,0,,0,,,,,,BI00,NA00,,,,,,,,,,,,2016,,,US00,,0,,0,0,0,,0,2,,,,,,,,,,,,,0,,,,
140,4900000001,2016,7,7,0,0,0,561,,DXTR1007,MI00,FG00,,,,,,,,,0,0,,S,USD,"140,000.00",0,"140,000.00",,0,,100,EA,100,EA,0,,,0,0,,0,0,,0,,,,,,BI00,NA00,,,,,,,,,,,,2016,,,US00,,0,,0,0,0,,0,2,,,,,,,,,,,,,0,,,,
140,4900000001,2016,8,8,0,0,0,561,,DXTR1008,MI00,FG00,,,,,,,,,0,0,,S,USD,"140,000.00",0,"140,000.00",,0,,100,EA,100,EA,0,,,0,0,,0,0,,0,,,,,,BI00,NA00,,,,,,,,,,,,2016,,,US00,,0,,0,0,0,,0,2,,,,,,,,,,,,,0,,,,
140,4900000001,2016,9,9,0,0,0,561,,DXTR1009,MI00,FG00,,,,,,,,,0,0,,S,USD,"140,000.00",0,"140,000.00",,0,,100,EA,100,EA,0,,,0,0,,0,0,,0,,,,,,BI00,NA00,,,,,,,,,,,,2016,,,US00,,0,,0,0,0,,0,2,,,,,,,,,,,,,0,,,,
140,4900000001,2016,10,10,0,0,0,561,,DXTR1010,MI00,FG00,,,,,,,,,0,0,,S,USD,"140,000.00",0,"140,000.00",,0,,100,EA,100,EA,0,,,0,0,,0,0,,0,,,,,,BI00,NA00,,,,,,,,,,,,2016,,,US00,,0,,0,0,0,,0,2,,,,,,,,,,,,,0,,,,
140,4900000001,2016,11,11,0,0,0,561,,DXTR1011,MI00,FG00,,,,,,,,,0,0,,S,USD,"140,000.00",0,"140,000.00",,0,,100,EA,100,EA,0,,,0,0,,0,0,,0,,,,,,BI00,NA00,,,,,,,,,,,,2016,,,US00,,0,,0,0,0,,0,2,,,,,,,,,,,,,0,,,,
140,4900000001,2016,12,12,0,0,0,561,,DXTR1012,MI00,FG00,,,,,,,,,0,0,,S,USD,"140,000.00",0,"140,000.00",,0,,100,EA,100,EA,0,,,0,0,,0,0,,0,,,,,,BI00,NA00,,,,,,,,,,,,2016,,,US00,,0,,0,0,0,,0,2,,,,,,,,,,,,,0,,,,
140,4900000001,2016,13,13,0,0,0,561,,DXTR1013,MI00,FG00,,,,,,,,,0,0,,S,USD,"140,000.00",0,"140,000.00",,0,,100,EA,100,EA,0,,,0,0,,0,0,,0,,,,,,BI00,NA00,,,,,,,,,,,,2016,,,US00,,0,,0,0,0,,0,2,,,,,,,,,,,,,0,,,,
